,dataset,acc,auc,ap,prec,rec,f1,mitigation,mitigated_attribute,CFS_true,attribute,dpdiff,dpr,eoddsdiff,eoddsr,y_pred_CFS,sampling
25,german,0.645,0.6539247505709821,0.8027900393917561,0.8125,0.6453900709219859,0.7193675889328063,balance_attribute,all,0.6525319013877969,attribute_2,0.029452369995398,0.9479674796747968,0.2591973244147157,0.3724696356275304,0.6522419271355182,RandomOverSampler
26,german,0.715,0.734162759947109,0.8504996180293388,0.8559322033898306,0.7163120567375887,0.77992277992278,balance_output_for_attribute,attribute_1,0.7418892528252895,attribute_1,0.0734126984126984,0.8858024691358024,0.1085972850678732,0.8633776091081594,0.716815629887797,RandomOverSampler
27,german,0.715,0.734162759947109,0.8504996180293388,0.8559322033898306,0.7163120567375887,0.77992277992278,balance_output_for_attribute,attribute_1,0.6525319013877969,attribute_2,0.1899064273661604,0.6980487804878049,0.3695652173913043,0.0,0.5846445818910133,RandomOverSampler
28,german,0.685,0.7654766197860319,0.878125807124097,0.8545454545454545,0.6666666666666666,0.749003984063745,balance_output_for_attribute,attribute_2,0.7418892528252895,attribute_1,0.0297619047619047,0.9479166666666666,0.035444947209653,0.8904761904761905,0.7355072640113964,RandomOverSampler
29,german,0.685,0.7654766197860319,0.878125807124097,0.8545454545454545,0.6666666666666666,0.749003984063745,balance_output_for_attribute,attribute_2,0.6525319013877969,attribute_2,0.0168737536431967,0.9695121951219512,0.1505016722408027,0.5054945054945055,0.6555745155908653,RandomOverSampler
30,german,0.65,0.7455222983531673,0.8679966792152635,0.8317757009345794,0.6312056737588653,0.717741935483871,balance_output_for_attribute,all,0.7418892528252895,attribute_1,0.1746031746031746,0.7357357357357357,0.2324929971988795,0.5059523809523809,0.661771996689352,RandomOverSampler
31,german,0.65,0.7455222983531673,0.8679966792152635,0.8317757009345794,0.6312056737588653,0.717741935483871,balance_output_for_attribute,all,0.6525319013877969,attribute_2,0.0326737229636447,0.9417555373256766,0.1036662452591656,0.7076923076923077,0.6513168308616897,RandomOverSampler
32,bank_marketing,0.8107419840259289,0.7786865300995754,0.3017804646612347,0.3008526187576126,0.5035677879714577,0.3766679374761724,none,none,0.3886310317408353,attribute_1,0.7747608836243576,0.1782839113074995,0.8043515717731745,0.1385086990844687,0.2358161660475323,RandomOverSampler
33,bank_marketing,0.7848130570667902,0.8102022123666455,0.3322271356177018,0.3041926851025869,0.6952089704383282,0.4232081911262799,balance_output,none,0.3886310317408353,attribute_1,0.7284858475198515,0.2469239129014194,0.7805548110426159,0.1905357515113612,0.2633058430654195,RandomOverSampler
34,bank_marketing,0.8019446695219354,0.7523249257437407,0.2788610061276055,0.2892609699769053,0.5107033639143731,0.3693328418724659,balance_attribute,attribute_1,0.3886310317408353,attribute_1,0.1423256650766096,0.5798820729666343,0.2787290882018043,0.6405861757397786,0.3936797833402353,RandomOverSampler
35,bank_marketing,0.7938418798472046,0.7511217973036399,0.278239874487063,0.2807017543859649,0.5219164118246687,0.3650623885918003,balance_attribute,all,0.3886310317408353,attribute_1,0.148168516870651,0.5827438318010402,0.2669265130945082,0.6558052857465552,0.3942479151130627,RandomOverSampler
36,bank_marketing,0.783192499131844,0.8152002170250161,0.3449390329000599,0.3069264069264069,0.7227319062181448,0.4308720753570343,balance_output_for_attribute,attribute_1,0.3886310317408353,attribute_1,0.1742853252809344,0.6009354701511315,0.1676781406746564,0.5497956770927034,0.3979881757214528,RandomOverSampler
37,bank_marketing,0.7836555156846857,0.814424110329214,0.3446774838592659,0.3076256499133449,0.7237512742099899,0.4317421708726056,balance_output_for_attribute,all,0.3886310317408353,attribute_1,0.1787243560755252,0.5945604885323732,0.1733162308075199,0.5409461994827849,0.3963136194828435,RandomOverSampler
54,ACS_I,0.7721360488590192,0.8068554572098021,0.6803160295887135,0.6875260525218841,0.8188023580515048,0.7474438496615402,none,none,0.7997894940577985,attribute_1,0.0762772569709842,0.8550991444805544,0.0273171217383041,0.9005653173184862,0.8549952289453211,RandomOverSampler
55,ACS_I,0.7721360488590192,0.8068554572098021,0.6803160295887135,0.6875260525218841,0.8188023580515048,0.7474438496615402,none,none,0.7907491867903877,attribute_2,0.3598480229403354,0.3720520393831137,0.3114107473168731,0.4313714180001081,0.783611842396195,RandomOverSampler
56,ACS_I,0.7702450617126211,0.804740779835134,0.6766882573141916,0.6822927328556807,0.8273037542662116,0.7478334034497265,balance_output,none,0.7997894940577985,attribute_1,0.0723960958726823,0.8642926025866503,0.0251586014869564,0.9110279892427392,0.860344265947888,RandomOverSampler
57,ACS_I,0.7702450617126211,0.804740779835134,0.6766882573141916,0.6822927328556807,0.8273037542662116,0.7478334034497265,balance_output,none,0.7907491867903877,attribute_2,0.3569432056296477,0.3835624059963683,0.2945494468565016,0.4395938392368917,0.7819601095558458,RandomOverSampler
58,ACS_I,0.7715227557304577,0.8069354779530552,0.6805076041824161,0.6865896795672076,0.8190505739993794,0.7469934067177906,balance_attribute,attribute_1,0.7997894940577985,attribute_1,0.0756716698089697,0.856394703356835,0.0265415575787772,0.9036736515956582,0.855783706919586,RandomOverSampler
59,ACS_I,0.7715227557304577,0.8069354779530552,0.6805076041824161,0.6865896795672076,0.8190505739993794,0.7469934067177906,balance_attribute,attribute_1,0.7907491867903877,attribute_2,0.3611864088630209,0.3702100727734325,0.3172319614273365,0.4317779886108527,0.7821338746836753,RandomOverSampler
